date,mkp_name,ipl_cl,ipl_pro,rasuradora,perfiladora,repuestos,exfoliante,agua_de_rosas
2025-11-06,amzn,8,4,1,2,0,1,2
2025-11-07,amzn,7,4,2,3,0,1,1
2025-11-08,amzn,10,3,2,3,0,1,2
2025-11-09,shop,6,3,2,1,0,1,0
2025-11-10,shop,2,4,1,1,0,1,1
2025-11-11,shop,1,1,1,2,0,0,1
2025-11-12,ml,14,6,3,4,0,1,2
2025-11-13,amzn,4,5,2,3,0,1,1
2025-11-14,shop,7,4,1,3,0,1,1
2025-11-15,ml,12,7,2,3,0,2,2
2025-11-16,ml,13,4,1,4,0,1,2
2025-11-17,shop,4,1,0,2,0,1,1
2025-11-18,amzn,10,3,1,5,0,1,1
2025-11-19,amzn,7,5,2,1,0,1,1
2025-11-20,shop,7,2,2,1,0,1,0
2025-11-21,amzn,13,4,2,3,0,1,1
2025-11-22,amzn,9,2,2,3,0,2,2
2025-11-23,ml,14,7,3,5,0,2,2
2025-11-24,ml,9,6,2,2,0,2,2
2025-11-25,ml,14,7,3,4,0,1,2
2025-11-26,amzn,11,5,1,3,0,2,1
2025-11-27,shop,8,3,2,2,0,1,1
2025-11-28,ml,19,6,3,3,0,2,1
2025-11-29,ml,11,5,2,4,0,1,1
2025-11-30,shop,3,2,1,3,0,1,1
2025-12-01,ml,9,8,3,3,0,2,2
2025-12-02,amzn,11,5,2,2,0,1,2
2025-12-03,amzn,11,4,2,3,0,1,1
2025-12-04,amzn,10,5,2,3,0,1,2
2025-12-05,ml,9,4,2,3,0,1,2
2025-12-06,amzn,14,7,2,3,0,1,1
2025-12-07,ml,10,5,2,3,0,2,2
2025-12-08,amzn,13,5,2,2,0,2,2
2025-12-09,ml,19,6,3,2,0,2,2
2025-12-10,amzn,10,5,2,3,0,1,2
2025-12-11,amzn,12,5,2,3,0,1,2
2025-12-12,ml,14,7,3,4,0,2,3
2025-12-13,ml,12,7,3,4,0,2,3
2025-12-14,ml,11,5,2,3,0,2,2
2025-12-15,ml,10,5,3,4,0,1,3
2025-12-16,ml,8,7,2,3,0,2,2
2025-12-17,shop,11,3,1,1,0,0,1
2025-12-18,ml,13,5,2,3,0,2,2
2025-12-19,shop,9,3,1,1,0,2,1
2025-12-20,shop,7,5,1,1,0,1,1
2025-12-21,ml,13,7,3,4,0,2,3
2025-12-22,amzn,13,5,2,1,0,1,2
2025-12-23,shop,7,3,1,3,0,1,1
2025-12-24,amzn,11,5,1,4,0,2,1
2025-12-25,amzn,12,5,2,3,0,2,2
2025-12-26,amzn,10,5,3,3,0,2,2
2025-12-27,ml,13,8,3,5,0,2,3
2025-12-28,amzn,7,6,3,3,0,1,1
2025-12-29,shop,6,2,1,2,0,2,1
2025-12-30,shop,7,2,2,1,0,1,1
2025-12-31,ml,10,6,2,3,0,2,2
2026-01-01,amzn,9,6,2,2,0,1,1
2026-01-02,ml,14,4,3,5,0,2,2
2026-01-03,shop,1,3,2,3,0,1,1
2026-01-04,ml,8,3,2,3,0,1,2
2026-01-05,shop,7,2,2,1,0,0,2
2026-01-06,shop,8,3,2,1,0,1,1
2026-01-07,ml,9,5,2,4,0,2,2
2026-01-08,ml,11,4,2,5,0,1,2
2026-01-09,shop,9,3,1,2,0,1,1
2026-01-10,ml,15,5,3,4,0,1,2
2026-01-11,amzn,10,3,3,4,0,2,2
2026-01-12,shop,4,3,2,2,0,1,1
2026-01-13,amzn,8,5,2,3,0,1,2
2026-01-14,ml,13,6,3,3,0,2,2
2026-01-15,amzn,9,2,1,4,0,1,2
2026-01-16,ml,15,6,2,2,0,2,2
2026-01-17,shop,9,4,2,3,0,1,1
2026-01-18,ml,15,5,2,4,0,2,2
2026-01-19,ml,11,5,3,3,0,2,1
2026-01-20,ml,13,5,2,5,0,2,2
2026-01-21,shop,9,5,1,2,0,0,1
2026-01-22,ml,9,7,3,3,0,1,1
2026-01-23,shop,3,1,2,2,0,1,1
2026-01-24,amzn,14,7,2,4,0,1,2
2026-01-25,shop,9,3,2,2,0,1,1
2026-01-26,shop,2,4,1,1,0,1,1
2026-01-27,shop,5,4,1,2,0,1,1
2026-01-28,shop,8,2,1,3,0,1,2
2026-01-29,ml,12,6,4,4,0,2,2
2026-01-30,amzn,9,5,3,4,0,2,1
2026-01-31,amzn,14,5,3,3,0,1,2
2026-02-01,amzn,8,5,2,3,0,1,2
2026-02-02,shop,5,4,2,3,0,1,1
2026-02-03,shop,7,3,2,2,0,0,1
2026-02-04,amzn,9,3,2,2,0,1,1
2026-02-05,amzn,11,6,3,4,0,2,1
2026-02-06,amzn,12,5,2,2,0,1,1
2026-02-07,ml,15,7,3,4,0,2,1
2026-02-08,ml,15,5,3,4,0,2,2
2026-02-09,ml,10,3,1,3,0,1,1
2026-02-10,ml,11,4,3,4,0,1,2
2026-02-11,ml,13,5,3,6,0,2,2
2026-02-12,amzn,10,5,2,3,0,1,2
2026-02-13,amzn,10,5,1,1,0,1,2
2026-02-14,shop,9,3,2,3,0,1,2
2026-02-15,amzn,11,6,3,3,0,2,2
2026-02-16,ml,9,6,3,4,0,2,3
2026-02-17,ml,11,5,2,4,0,2,2
2026-02-18,ml,13,5,3,4,0,3,2
2026-02-19,shop,7,5,3,2,0,1,1
2026-02-20,ml,21,7,3,5,1,2,2
2026-02-21,amzn,11,5,3,3,0,1,1
2026-02-22,shop,8,3,1,2,0,1,1
2026-02-23,shop,9,2,1,4,0,1,1
2026-02-24,ml,13,4,3,4,0,2,2
2026-02-25,ml,19,6,4,4,0,1,2
2026-02-26,ml,13,5,4,3,1,2,2
2026-02-27,ml,14,9,3,4,0,2,2
2026-02-28,ml,12,5,3,4,0,2,2
2026-03-01,amzn,9,3,4,3,0,2,1
2026-03-02,shop,7,3,1,3,0,1,1
2026-03-03,amzn,13,6,2,4,0,1,1
2026-03-04,amzn,10,4,1,3,0,1,2
2026-03-05,ml,15,6,3,3,0,2,2
2026-03-06,shop,7,1,2,4,0,1,2
2026-03-07,amzn,10,4,4,3,0,2,2
2026-03-08,shop,14,2,1,4,0,1,2
2026-03-09,shop,6,0,2,2,0,1,1
2026-03-10,ml,10,5,3,4,0,1,2
2026-03-11,ml,10,3,3,3,0,2,2
2026-03-12,ml,8,3,1,3,0,2,2
2026-03-13,amzn,12,4,3,3,0,1,2
2026-03-14,shop,6,2,2,2,0,1,2
2026-03-15,ml,14,6,3,4,0,2,1
2026-03-16,amzn,10,5,3,2,0,1,1
2026-03-17,amzn,11,5,2,4,0,1,1
2026-03-18,ml,9,6,2,4,0,2,2
2026-03-19,ml,10,7,3,4,0,2,3
2026-03-20,amzn,12,5,2,3,0,1,1
2026-03-21,amzn,12,5,3,4,0,1,2
2026-03-22,amzn,11,5,3,2,0,0,0
2026-03-23,ml,11,6,2,2,0,2,2
2026-03-24,amzn,11,4,2,3,0,1,1
2026-03-25,ml,11,5,3,5,0,1,2
2026-03-26,shop,5,2,2,2,0,2,0
2026-03-27,ml,12,7,3,4,0,2,2
2026-03-28,ml,17,6,3,4,0,2,2
2026-03-29,amzn,12,4,3,2,0,2,2
2026-03-30,amzn,11,3,2,2,0,2,1
2026-03-31,amzn,12,3,3,2,0,1,1
2026-04-01,amzn,15,5,2,3,0,1,1
2026-04-02,shop,3,3,1,2,0,1,2
2026-04-03,amzn,8,4,3,3,0,2,1
2026-04-04,amzn,9,6,3,5,0,2,1
2026-04-05,amzn,9,4,3,4,0,1,2
2026-04-06,ml,11,4,4,4,0,1,2
2026-04-07,amzn,7,5,1,2,0,1,1
2026-04-08,ml,8,4,2,3,0,1,2
2026-04-09,amzn,10,4,2,1,0,1,1
2026-04-10,ml,15,7,3,6,0,2,2
2026-04-11,shop,9,5,2,3,0,1,1
2026-04-12,amzn,13,5,3,3,0,2,2
2026-04-13,shop,7,1,1,2,0,1,1
2026-04-14,amzn,8,4,1,3,0,1,1
